Pos.,Name,Nation,League,League,FA Cup,FA Cup,Total,Total
,,,Apps,Goals,Apps,Goals,Apps,Goals
FW, Billy Barbour,SCO,19,13,2,0,21,13
FW, Jim Bonar,ENG,17,0,2,0,19,0
FW, Bob Brand,SCO,16,11,0,0,16,11
HB, Peter Chippendale,ENG,6,1,0,0,6,1
FW, Hugh Galbraith,SCO,1,0,0,0,1,0
FW, Pat Gallocher,SCO,1,1,0,0,1,1
HB, George Haworth,ENG,21,1,2,0,23,1
FW, J. Holden,ENG,6,4,0,0,6,4
GK, Johnny Horne,ENG,22,0,2,0,24,0
FW, John Kirkham,ENG,19,12,2,0,21,12
FW, Joe Lofthouse,ENG,21,2,2,0,23,2
FW, Robert Macbeth,ENG,1,0,0,0,1,0
FB, John McLellan,SCO,19,0,1,0,20,0
HB, Henry Parkinson,ENG,1,0,0,0,1,0
HB, Luther Pemberton,ENG,16,0,0,0,16,0
FW, J. Robertson,ENG,3,0,0,0,3,0
FB, Stephen Smith-Singleton,ENG,4,0,0,0,4,0
FB, John Stevenson,SCO,22,0,2,0,24,0
HB, James Tattersall,ENG,17,0,2,0,19,0
FW, Arthur Wilkinson,ENG,4,1,2,1,6,2
HB, Jonathan Wilkinson,ENG,4,0,0,0,4,0
HB, J. Woods,ENG,2,0,0,0,2,0
